dialogue;class
" —  Доброе утро. Компания «Сбербанк Инвестор». Скажите, Вам удобно говорить?  —  Здравствуйте, да.  —  АО «Сбербанк Инвестор» — микрофинансовая организация, в которой Вы получаете до 23% годовых. Сейчас мы информируем заинтересованных лиц о возможности этих выгодных инвестиций. Вам бы хотелось узнать подробнее?  —  Да, давайте.  —  Что Вы хотите узнать?  —  Какие есть документальные подтверждения, что вы работаете с данными организациями, ведь они играют ключевую роль в деятельности?  —  С каждой организацией заключен договор. В случае предварительного согласия на наше сотрудничество возможно предоставление копий договоров.  —  Какие гарантии я получаю, инвестируя в вашу Компанию?  —  Инвестирование осуществляется на основании подписанного генеральным директором ""Сбербанк Инвестор"" договора займа, имеющего юридическую силу на всей территории РФ. Организация ведет деятельность с 2009 года по одному фактическому, юридическому и почтовому адресу, что можно проверить на сайте Федеральной налоговой службы http://egrul.nalog.ru/. Всегда можно приехать в офис и обсудить все интересующие вопросы.  —  В чем отличия и сходства между вашей организацией и банком?  —  ""Сбербанк Инвестор"" — микрофинансовая организация. Здесь Вы получаете до 23% годовых, это выше, чем в банках, но и процент по выдаваемым клиентам займам составляет 2,5% в день. Инвестиции в ""Сбербанк Инвестор"" застрахованы в страховой компании в полном размере, в отличие от банков, где максимальная компенсация по вкладам «проблемных» банков составляет 700 тыс. руб.  —  Мне предложили инвестировать под существенно большую ставку — 10% в месяц, в другой микрофинансовой организации. Вы можете предложить такие условия?  —  ""Сбербанк Инвестор"" не может предложить Вам таких условий, когда текущая деятельность не может обеспечить необходимого дохода и покрытие обязательств перед старыми инвесторами необходимо производить из средств новых инвесторов (схема Понци, или «финансовая пирамида» — нарушение ст. 159 УК РФ «Мошенничество»). Вместо этого ""Сбербанк Инвестор"" предлагает стабильные, доходные и безопасные инвестиции по ставке до 23% годовых, застрахованные в страховой компании, привлечение которых регламентируется ФЗ-151, а сама деятельность регулируется Министерством финансов и Банком России.  —  Могу ли я инвестировать меньше 1,5 млн. руб.?  —  В качестве физического лица согласно ФЗ-151 от Вас принимаются инвестиции от 1,5 млн. руб. (норма ФЗ-151), при этом ""Сбербанк Инвестор"" будет являться налоговым агентом для Вас (будет выплачивать подоходный налог на доход физического лица с суммы начисленных процентов). В качестве юридического лица или индивидуального предпринимателя Вы можете инвестировать не менее 300 тыс. руб. (согласно Правил ""Сбербанк Инвестор""), при этом обязанность по уплате налога на доход в виде процентов по займу ложится на Вас.  —  Много организаций, таких как Ваша.  —  Согласен, не понаслышке сам знаю об этом, но помимо многочисленных плюсов предложения, в ""Сбербанк Инвестор"" Вы получаете страхование инвестиций за счет компании. В других МФО Вы или будете оплачивать страховку сами, или Вам на соответствующую сумму уменьшат процентный доход по Вашим инвестициям.  —  Надо посоветоваться с женой.  —  Подскажите, пожалуйста, а какие конкретно моменты вызывают у Вас необходимость посоветоваться? Ведь  у человека, с которым вы будете советоваться, наверняка тоже какие-то вопросы возникнут. Можем ли мы с Вами так поступить, и оставить Вас неподготовленным? Давайте, Вы посоветуетесь, составите список вопросов, а я Вам перезвоню и отвечу на них. Договорились?  —  Ладно. До свидания!  —  Спасибо. Хорошего Вам дня!";1
" —  Доброе утро. Компания «Сбербанк Инвестор». Скажите, Вам удобно говорить?  —  Здравствуйте, да.  —  АО «Сбербанк Инвестор» — микрофинансовая организация, в которой Вы получаете до 23% годовых. Сейчас мы информируем заинтересованных лиц о возможности этих выгодных инвестиций. Вам бы хотелось узнать подробнее?  —  Да, давайте.  —  Что Вы хотите узнать?  —  Есть ли у вас еще офисы?  —  Есть региональные представительства в нескольких городах РФ. Микрозаймы выдаются онлайн, что позволяет работать с клиентами по всей России, а не только в регионах присутствия представительств. Встречи с инвесторами проходят в центральном офисе в Москве (по фактическому, почтовому и юридическому адресу Компании). Также обмен информацией с инвесторами может осуществляться по телефону, электронной почте, скайпу, а обмен документацией - по почте России или транспортной компанией.  —  Как соотносятся расходы организации с доходом в 2,5% в день? С какими организациями-партнерами вы работаете?  —  Ставка 2,5% в день покрывает безнадежные долги, расходы организации, связанные с экономической деятельностью (затраты на информационное обслуживание, скоринг, выдачу, возврат и пр.), и выплаты инвесторам по ставке до 23% годовых. Благодаря работе с «Объединенным кредитным бюро» (в числе его учредителей Сбербанк России) — лидером роста среди ведущих бюро кредитных историй России, риск выдать заём неблагонадежному клиенту (с плохой кредитной историей) сводится к минимуму. Если же заёмщик длительное время не осуществляет возврат займа, то взысканием занимается «Руссколлектор» — профессиональное коллекторское агентство, входящее в состав Национальной ассоциации профессиональных коллеторских агентств (НАПКА).  —  Мне предложили аналогичные условия в другой организации. Почему я должен выбрать Вас?  —  В ""Сбербанк Инвестор"" Вы получаете страхование инвестиций за счет компании. В других МФО Вы или будете оплачивать страховку сами, или Вам на соответствующую сумму уменьшат процентный доход по Вашим инвестициям.  —  Мне, как физ. лицу, предложили инвестировать гораздо меньшую сумму в другой микрофинансовой организации. Вы можете предложить такие условия?  —  Минимальная сумма для инвестиций физических лиц в микрофинансовые организации ограничена 1,5 млн. руб. Так как ""Сбербанк Инвестор"" не нарушает законы (и ФЗ-151 в частности), то не может принять меньшую сумму от физических лиц.  —  Почему Вы не используете фирму-«прокладку» для привлечения от физических лиц сумм, меньше 1,5 млн. руб.?  —  В ""Сбербанк Инвестор"" не применяются схемы обхода действующего ФЗ-151, в том числе и в виде создания аффилированной организации, которая привлекает инвестиции суммами, менее 1,5 млн. руб., и выдает их основной компании консолидированным займом, превышающим 1,5 млн. руб. Любая проверка регулятора таких аффилированных организаций приводит к штрафу, началу разбирательств, направлению документов по факту проверки в Следственный комитет РФ.  В конечном итоге все это приводит к невозврату инвестиций, так как после таких проверок и разбирательств у организаций уже не остается денежных средств.  —  Я могу обойтись без вашего предложения.  —  Как скажете, давайте я просто расскажу Вам о плюсах, и возможно эта информация будет для Вас полезной в будущем.  —  Ничего нового.  —  Само собой велосипед никто не изобретает, мы работаем по проверенным алгоритмам, я просто предлагаю рассказать о предложении более детально, чтобы Вы  поняли всю инвестиционную привлекательность.  —  Хорошо, я буду держать Вас в курсе дел. До свидания!  —  Спасибо. Хорошего Вам дня!";1
" —  Добрый вечер. Компания «Сбербанк Инвестор». Скажите, Вам удобно говорить?  —  Здравствуйте, да.  —  АО «Сбербанк Инвестор» — микрофинансовая организация, в которой Вы получаете до 23% годовых. Сейчас мы информируем заинтересованных лиц о возможности этих выгодных инвестиций. Вам бы хотелось узнать подробнее?  —  Да, давайте.  —  Что Вы хотите узнать?  —  Есть ли свидетельства или разрешения на осуществление вашей деятельности?  —  ""Сбербанк Инвестор"" имеет Свидетельство ФСФР (сейчас - СБРФР) №123456, выданное бессрочно. В реестре микрофинансовых организаций на сайте Банка России есть запись о включении.  —  Будут ли застрахованы мои инвестиции?  —  Инвестиции застрахованы в страховой компании «СберСтрахование» в соответствии с ФЗ-151. Таким образом, потерять вложенные средства Вы не можете.  —  Как соотносятся расходы организации с доходом в 2,5% в день? С какими организациями-партнерами вы работаете?  —  Ставка 2,5% в день покрывает безнадежные долги, расходы организации, связанные с экономической деятельностью (затраты на информационное обслуживание, скоринг, выдачу, возврат и пр.), и выплаты инвесторам по ставке до 23% годовых. Благодаря работе с «Объединенным кредитным бюро» (в числе его учредителей Сбербанк России) — лидером роста среди ведущих бюро кредитных историй России, риск выдать заём неблагонадежному клиенту (с плохой кредитной историей) сводится к минимуму. Если же заёмщик длительное время не осуществляет возврат займа, то взысканием занимается «Руссколлектор» — профессиональное коллекторское агентство, входящее в состав Национальной ассоциации профессиональных коллеторских агентств (НАПКА).  —  В чем отличия и сходства между вашей организацией и банком?  —  ""Сбербанк Инвестор"" — микрофинансовая организация. Здесь Вы получаете до 23% годовых, это выше, чем в банках, но и процент по выдаваемым клиентам займам составляет 2,5% в день. Инвестиции в ""Сбербанк Инвестор"" застрахованы в страховой компании в полном размере, в отличие от банков, где максимальная компенсация по вкладам «проблемных» банков составляет 700 тыс. руб.  —  Какие есть документальные подтверждения, что вы работаете с данными организациями, ведь они играют ключевую роль в деятельности?  —  С каждой организацией заключен договор. В случае предварительного согласия на наше сотрудничество возможно предоставление копий договоров.  —  Много организаций, таких как Ваша.  —  Согласен, не понаслышке сам знаю об этом, но помимо многочисленных плюсов предложения, в ""Сбербанк Инвестор"" Вы получаете страхование инвестиций за счет компании. В других МФО Вы или будете оплачивать страховку сами, или Вам на соответствующую сумму уменьшат процентный доход по Вашим инвестициям.  —  1,5 миллиона рублей инвестировать — это много.  —  Возможно такая сумма может показаться большой для инвестирования в компанию и все же прибыль от такой инвестиции порядка десяти тысяч $ в год. Стоит ли лишать себя этой суммы и остаться только с 1,5 млн?  —  Спасибо за информацию! До свидания!  —  Спасибо. Хорошего Вам дня!";1
" —  Доброе утро. Компания «Сбербанк Инвестор». Скажите, Вам удобно говорить?  —  Здравствуйте, да.  —  АО «Сбербанк Инвестор» — микрофинансовая организация, в которой Вы получаете до 23% годовых. Сейчас мы информируем заинтересованных лиц о возможности этих выгодных инвестиций. Вам бы хотелось узнать подробнее?  —  Да, давайте.  —  Что Вы хотите узнать?  —  Мне предложили аналогичные условия в другой организации. Почему я должен выбрать Вас?  —  В ""Сбербанк Инвестор"" Вы получаете страхование инвестиций за счет компании. В других МФО Вы или будете оплачивать страховку сами, или Вам на соответствующую сумму уменьшат процентный доход по Вашим инвестициям.  —  Какую максимальную доходность в месяц я могу получить?  —  Вы гарантированно получаете до 2% а месяц. На сайте www.sberbank.ru можно рассчитать доходность инвестиций в зависимости от срока.  —  Как соотносятся расходы организации с доходом в 2,5% в день? С какими организациями-партнерами вы работаете?  —  Ставка 2,5% в день покрывает безнадежные долги, расходы организации, связанные с экономической деятельностью (затраты на информационное обслуживание, скоринг, выдачу, возврат и пр.), и выплаты инвесторам по ставке до 23% годовых. Благодаря работе с «Объединенным кредитным бюро» (в числе его учредителей Сбербанк России) — лидером роста среди ведущих бюро кредитных историй России, риск выдать заём неблагонадежному клиенту (с плохой кредитной историей) сводится к минимуму. Если же заёмщик длительное время не осуществляет возврат займа, то взысканием занимается «Руссколлектор» — профессиональное коллекторское агентство, входящее в состав Национальной ассоциации профессиональных коллеторских агентств (НАПКА).  —  Есть ли у вас еще офисы?  —  Есть региональные представительства в нескольких городах РФ. Микрозаймы выдаются онлайн, что позволяет работать с клиентами по всей России, а не только в регионах присутствия представительств. Встречи с инвесторами проходят в центральном офисе в Москве (по фактическому, почтовому и юридическому адресу Компании). Также обмен информацией с инвесторами может осуществляться по телефону, электронной почте, скайпу, а обмен документацией - по почте России или транспортной компанией.  —  Какие есть документальные подтверждения, что вы работаете с данными организациями, ведь они играют ключевую роль в деятельности?  —  С каждой организацией заключен договор. В случае предварительного согласия на наше сотрудничество возможно предоставление копий договоров.  —  Я подумаю...  —  Понимаю, сам принимаю решения всегда взвешенно, и все же я показал Вам плюсы данного предложения, и уже через месяц Вы можете получить первою прибыль! Зачем терять время?  —  Я подумаю.  —  Обычно человек говорит «я подумаю», когда не видит явной выгоды для себя. Что скажете по поводу выгодности нашего предложения для Вас?  —  Хорошо, я буду держать Вас в курсе дел. До свидания!  —  Спасибо. Хорошего Вам дня!";1
" —  Доброе утро. Компания «Сбербанк Инвестор». Скажите, Вам удобно говорить?  —  Здравствуйте, да.  —  АО «Сбербанк Инвестор» — микрофинансовая организация, в которой Вы получаете до 23% годовых. Сейчас мы информируем заинтересованных лиц о возможности этих выгодных инвестиций. Вам бы хотелось узнать подробнее?  —  Да, давайте.  —  Что Вы хотите узнать?  —  Какие есть документальные подтверждения, что вы работаете с данными организациями, ведь они играют ключевую роль в деятельности?  —  С каждой организацией заключен договор. В случае предварительного согласия на наше сотрудничество возможно предоставление копий договоров.  —  Могу ли я инвестировать меньше 1,5 млн. руб.?  —  В качестве физического лица согласно ФЗ-151 от Вас принимаются инвестиции от 1,5 млн. руб. (норма ФЗ-151), при этом ""Сбербанк Инвестор"" будет являться налоговым агентом для Вас (будет выплачивать подоходный налог на доход физического лица с суммы начисленных процентов). В качестве юридического лица или индивидуального предпринимателя Вы можете инвестировать не менее 300 тыс. руб. (согласно Правил ""Сбербанк Инвестор""), при этом обязанность по уплате налога на доход в виде процентов по займу ложится на Вас.  —  Мне предложили инвестировать под существенно большую ставку — 10% в месяц, в другой микрофинансовой организации. Вы можете предложить такие условия?  —  ""Сбербанк Инвестор"" не может предложить Вам таких условий, когда текущая деятельность не может обеспечить необходимого дохода и покрытие обязательств перед старыми инвесторами необходимо производить из средств новых инвесторов (схема Понци, или «финансовая пирамида» — нарушение ст. 159 УК РФ «Мошенничество»). Вместо этого ""Сбербанк Инвестор"" предлагает стабильные, доходные и безопасные инвестиции по ставке до 23% годовых, застрахованные в страховой компании, привлечение которых регламентируется ФЗ-151, а сама деятельность регулируется Министерством финансов и Банком России.  —  Мне, как физ. лицу, предложили инвестировать гораздо меньшую сумму в другой микрофинансовой организации. Вы можете предложить такие условия?  —  Минимальная сумма для инвестиций физических лиц в микрофинансовые организации ограничена 1,5 млн. руб. Так как ""Сбербанк Инвестор"" не нарушает законы (и ФЗ-151 в частности), то не может принять меньшую сумму от физических лиц.  —  Будут ли застрахованы мои инвестиции?  —  Инвестиции застрахованы в страховой компании «СберСтрахование» в соответствии с ФЗ-151. Таким образом, потерять вложенные средства Вы не можете.  —  Мне не нужно.  —  Вы знаете, примерно каждый второй случай, мне говорят «МНЕ НЕ НАДО»,  наша задача показать вам, сколько денег сможете заработать с нашей компанией, а дальше примите осознанное решение нужно или не нужно.  —  Меня это пока не интересует.  —  А скажите, пожалуйста, что именно не интересует? Приумножение капитала?» «А почему вы занимаетесь инвестициями?  —  Спасибо за информацию! До свидания!  —  Спасибо. Хорошего Вам дня!";1
" —  Добрый день. Компания «Сбербанк Инвестор». Скажите, Вам удобно говорить?  —  Здравствуйте, да.  —  АО «Сбербанк Инвестор» — микрофинансовая организация, в которой Вы получаете до 23% годовых. Сейчас мы информируем заинтересованных лиц о возможности этих выгодных инвестиций. Вам бы хотелось узнать подробнее?  —  Да, давайте.  —  Что Вы хотите узнать?  —  Есть ли свидетельства или разрешения на осуществление вашей деятельности?  —  ""Сбербанк Инвестор"" имеет Свидетельство ФСФР (сейчас - СБРФР) №123456, выданное бессрочно. В реестре микрофинансовых организаций на сайте Банка России есть запись о включении.  —  Каков риск инвестиций в финансовые организации?  —  Во-первых, в ""Сбербанк Инвестор"" выполняется приказ Министерства Финансов РФ от 19.04.2011 №43н «Экономические нормативы достаточности собственных средств и ликвидности МФО...», согласно которому норматив ликвидности устанавливается в размере не менее 70%. Во-вторых, инвестиции обеспечиваются обязательствами клиентов ""Сбербанк Инвестор"", то есть в случае отсутствия ликвидности на фирме Ваши инвестиции будут возвращены в виде выданных клиентам микрозаймов. В-третьих, финансовая ответственность ""Сбербанк Инвестор""  перед инвесторами застрахована в страховой компании, то есть в случае невозможности выплат организацией Ваших инвестиций, они будут выплачены страховой компанией «Сбербанк Инвестор». Если вероятность наступления каждого негативного сценария равна 20%, то из теоремы умножения вероятностей P(ABC)=P(A)P(B|A)P(C|AB) следует, что одновременное наступление всех 3-х негативный сценариев равно 20%*(20%*20%)*(20%*20%*20%)=0,01%. А значит Ваши инвестиции защищены на 100%-0,01%=99,9%..  —  Почему Вы не используете фирму-«прокладку» для привлечения от физических лиц сумм, меньше 1,5 млн. руб.?  —  В ""Сбербанк Инвестор"" не применяются схемы обхода действующего ФЗ-151, в том числе и в виде создания аффилированной организации, которая привлекает инвестиции суммами, менее 1,5 млн. руб., и выдает их основной компании консолидированным займом, превышающим 1,5 млн. руб. Любая проверка регулятора таких аффилированных организаций приводит к штрафу, началу разбирательств, направлению документов по факту проверки в Следственный комитет РФ.  В конечном итоге все это приводит к невозврату инвестиций, так как после таких проверок и разбирательств у организаций уже не остается денежных средств.  —  В чем отличия и сходства между вашей организацией и банком?  —  ""Сбербанк Инвестор"" — микрофинансовая организация. Здесь Вы получаете до 23% годовых, это выше, чем в банках, но и процент по выдаваемым клиентам займам составляет 2,5% в день. Инвестиции в ""Сбербанк Инвестор"" застрахованы в страховой компании в полном размере, в отличие от банков, где максимальная компенсация по вкладам «проблемных» банков составляет 700 тыс. руб.  —  Какую максимальную доходность в месяц я могу получить?  —  Вы гарантированно получаете до 2% а месяц. На сайте www.sberbank.ru можно рассчитать доходность инвестиций в зависимости от срока.  —  Надо посоветоваться с мужем.  —  Мы подготовим для Вашего мужа предложение, пришлем его на вашу электронную почту и обсудим позже. Хорошо?  —  Меня это пока не интересует.  —  А скажите, пожалуйста, что именно не интересует? Приумножение капитала?» «А почему вы занимаетесь инвестициями?  —  Ладно. До свидания!  —  Спасибо. Хорошего Вам дня!";1
" —  Доброе утро. Компания «Сбербанк Инвестор». Скажите, Вам удобно говорить?  —  Здравствуйте, да.  —  АО «Сбербанк Инвестор» — микрофинансовая организация, в которой Вы получаете до 23% годовых. Сейчас мы информируем заинтересованных лиц о возможности этих выгодных инвестиций. Вам бы хотелось узнать подробнее?  —  Да, давайте.  —  Что Вы хотите узнать?  —  Каков риск инвестиций в финансовые организации?  —  Во-первых, в ""Сбербанк Инвестор"" выполняется приказ Министерства Финансов РФ от 19.04.2011 №43н «Экономические нормативы достаточности собственных средств и ликвидности МФО...», согласно которому норматив ликвидности устанавливается в размере не менее 70%. Во-вторых, инвестиции обеспечиваются обязательствами клиентов ""Сбербанк Инвестор"", то есть в случае отсутствия ликвидности на фирме Ваши инвестиции будут возвращены в виде выданных клиентам микрозаймов. В-третьих, финансовая ответственность ""Сбербанк Инвестор""  перед инвесторами застрахована в страховой компании, то есть в случае невозможности выплат организацией Ваших инвестиций, они будут выплачены страховой компанией «Сбербанк Инвестор». Если вероятность наступления каждого негативного сценария равна 20%, то из теоремы умножения вероятностей P(ABC)=P(A)P(B|A)P(C|AB) следует, что одновременное наступление всех 3-х негативный сценариев равно 20%*(20%*20%)*(20%*20%*20%)=0,01%. А значит Ваши инвестиции защищены на 100%-0,01%=99,9%..  —  Какие есть документальные подтверждения, что вы работаете с данными организациями, ведь они играют ключевую роль в деятельности?  —  С каждой организацией заключен договор. В случае предварительного согласия на наше сотрудничество возможно предоставление копий договоров.  —  Почему Вы не используете фирму-«прокладку» для привлечения от физических лиц сумм, меньше 1,5 млн. руб.?  —  В ""Сбербанк Инвестор"" не применяются схемы обхода действующего ФЗ-151, в том числе и в виде создания аффилированной организации, которая привлекает инвестиции суммами, менее 1,5 млн. руб., и выдает их основной компании консолидированным займом, превышающим 1,5 млн. руб. Любая проверка регулятора таких аффилированных организаций приводит к штрафу, началу разбирательств, направлению документов по факту проверки в Следственный комитет РФ.  В конечном итоге все это приводит к невозврату инвестиций, так как после таких проверок и разбирательств у организаций уже не остается денежных средств.  —  Как соотносятся расходы организации с доходом в 2,5% в день? С какими организациями-партнерами вы работаете?  —  Ставка 2,5% в день покрывает безнадежные долги, расходы организации, связанные с экономической деятельностью (затраты на информационное обслуживание, скоринг, выдачу, возврат и пр.), и выплаты инвесторам по ставке до 23% годовых. Благодаря работе с «Объединенным кредитным бюро» (в числе его учредителей Сбербанк России) — лидером роста среди ведущих бюро кредитных историй России, риск выдать заём неблагонадежному клиенту (с плохой кредитной историей) сводится к минимуму. Если же заёмщик длительное время не осуществляет возврат займа, то взысканием занимается «Руссколлектор» — профессиональное коллекторское агентство, входящее в состав Национальной ассоциации профессиональных коллеторских агентств (НАПКА).  —  Мне предложили аналогичные условия в другой организации. Почему я должен выбрать Вас?  —  В ""Сбербанк Инвестор"" Вы получаете страхование инвестиций за счет компании. В других МФО Вы или будете оплачивать страховку сами, или Вам на соответствующую сумму уменьшат процентный доход по Вашим инвестициям.  —  Мне не нужно.  —  Вы знаете, примерно каждый второй случай, мне говорят «МНЕ НЕ НАДО»,  наша задача показать вам, сколько денег сможете заработать с нашей компанией, а дальше примите осознанное решение нужно или не нужно.  —  Надо посоветоваться с мужем.  —  Подскажите, пожалуйста, а какие конкретно моменты вызывают у Вас необходимость посоветоваться? Ведь  у человека, с которым вы будете советоваться, наверняка тоже какие-то вопросы возникнут. Можем ли мы с Вами так поступить, и оставить Вас неподготовленным? Давайте, Вы посоветуетесь, составите список вопросов, а я Вам перезвоню и отвечу на них. Договорились?  —  Спасибо за информацию! До свидания!  —  Спасибо. Хорошего Вам дня!";1
" —  Добрый вечер. Компания «Сбербанк Инвестор». Скажите, Вам удобно говорить?  —  Здравствуйте, да.  —  АО «Сбербанк Инвестор» — микрофинансовая организация, в которой Вы получаете до 23% годовых. Сейчас мы информируем заинтересованных лиц о возможности этих выгодных инвестиций. Вам бы хотелось узнать подробнее?  —  Да, давайте.  —  Что Вы хотите узнать?  —  Какие гарантии я получаю, инвестируя в вашу Компанию?  —  Инвестирование осуществляется на основании подписанного генеральным директором ""Сбербанк Инвестор"" договора займа, имеющего юридическую силу на всей территории РФ. Организация ведет деятельность с 2009 года по одному фактическому, юридическому и почтовому адресу, что можно проверить на сайте Федеральной налоговой службы http://egrul.nalog.ru/. Всегда можно приехать в офис и обсудить все интересующие вопросы.  —  Каков риск инвестиций в финансовые организации?  —  Во-первых, в ""Сбербанк Инвестор"" выполняется приказ Министерства Финансов РФ от 19.04.2011 №43н «Экономические нормативы достаточности собственных средств и ликвидности МФО...», согласно которому норматив ликвидности устанавливается в размере не менее 70%. Во-вторых, инвестиции обеспечиваются обязательствами клиентов ""Сбербанк Инвестор"", то есть в случае отсутствия ликвидности на фирме Ваши инвестиции будут возвращены в виде выданных клиентам микрозаймов. В-третьих, финансовая ответственность ""Сбербанк Инвестор""  перед инвесторами застрахована в страховой компании, то есть в случае невозможности выплат организацией Ваших инвестиций, они будут выплачены страховой компанией «Сбербанк Инвестор». Если вероятность наступления каждого негативного сценария равна 20%, то из теоремы умножения вероятностей P(ABC)=P(A)P(B|A)P(C|AB) следует, что одновременное наступление всех 3-х негативный сценариев равно 20%*(20%*20%)*(20%*20%*20%)=0,01%. А значит Ваши инвестиции защищены на 100%-0,01%=99,9%..  —  В чем отличия и сходства между вашей организацией и банком?  —  ""Сбербанк Инвестор"" — микрофинансовая организация. Здесь Вы получаете до 23% годовых, это выше, чем в банках, но и процент по выдаваемым клиентам займам составляет 2,5% в день. Инвестиции в ""Сбербанк Инвестор"" застрахованы в страховой компании в полном размере, в отличие от банков, где максимальная компенсация по вкладам «проблемных» банков составляет 700 тыс. руб.  —  Мне, как физ. лицу, предложили инвестировать гораздо меньшую сумму в другой микрофинансовой организации. Вы можете предложить такие условия?  —  Минимальная сумма для инвестиций физических лиц в микрофинансовые организации ограничена 1,5 млн. руб. Так как ""Сбербанк Инвестор"" не нарушает законы (и ФЗ-151 в частности), то не может принять меньшую сумму от физических лиц.  —  Мне предложили аналогичные условия в другой организации. Почему я должен выбрать Вас?  —  В ""Сбербанк Инвестор"" Вы получаете страхование инвестиций за счет компании. В других МФО Вы или будете оплачивать страховку сами, или Вам на соответствующую сумму уменьшат процентный доход по Вашим инвестициям.  —  Ничего нового.  —  Само собой велосипед никто не изобретает, мы работаем по проверенным алгоритмам, я просто предлагаю рассказать о предложении более детально, чтобы Вы  поняли всю инвестиционную привлекательность.  —  Надо посоветоваться с сыном.  —  Мы подготовим для Вашего сына предложение, пришлем его на вашу электронную почту и обсудим позже. Хорошо?  —  Спасибо за информацию! До свидания!  —  Спасибо. Хорошего Вам дня!";1
